产品编码,产品描述,工艺路线编码,工艺路线名称,工艺路线版本,工艺路线启用,工艺路线位置,工艺路线说明,顺序,工序名称,资源来源,资源编码,资源名称,工作中心编码,工作中心名称,准备时间_H,单件时间_H,工序说明
MAT001,精密齿轮,RT001,精密齿轮标准工艺,1.0,是,1001,,10,CNC粗加工,工作中心内默认首资源(库中无工序级resource_id),M001,CNC机床-1,WC001,机加工车间,0.5,0.05,
MAT001,精密齿轮,RT001,精密齿轮标准工艺,1.0,是,1001,,20,CNC精加工,工作中心内默认首资源(库中无工序级resource_id),M001,CNC机床-1,WC001,机加工车间,0.3,0.08,
MAT001,精密齿轮,RT001,精密齿轮标准工艺,1.0,是,1001,,30,组装,工作中心内默认首资源(库中无工序级resource_id),A001,装配工位-1,WC003,装配车间,0.2,0.03,
MAT001,精密齿轮,RT001,精密齿轮标准工艺,1.0,是,1001,,40,检测,工作中心内默认首资源(库中无工序级resource_id),T001,检测设备-1,WC005,检测车间,0.1,0.02,
MAT001,精密齿轮,RT001,精密齿轮标准工艺,1.0,是,1001,,50,包装,工作中心内默认首资源(库中无工序级resource_id),P001,包装线-1,WC006,包装车间,0.1,0.01,
MAT002,电机外壳,RT002,电机外壳标准工艺,1.0,是,1001,,10,冲压下料,工作中心内默认首资源(库中无工序级resource_id),S001,冲床-1,WC002,钣金车间,0.4,0.03,
MAT002,电机外壳,RT002,电机外壳标准工艺,1.0,是,1001,,20,折弯成型,工作中心内默认首资源(库中无工序级resource_id),S001,冲床-1,WC002,钣金车间,0.3,0.04,
MAT002,电机外壳,RT002,电机外壳标准工艺,1.0,是,1001,,30,焊接,工作中心内默认首资源(库中无工序级resource_id),S001,冲床-1,WC002,钣金车间,0.3,0.05,
MAT002,电机外壳,RT002,电机外壳标准工艺,1.0,是,1001,,40,喷涂,工作中心内默认首资源(库中无工序级resource_id),C001,喷涂线-1,WC004,喷涂车间,0.2,0.03,
MAT002,电机外壳,RT002,电机外壳标准工艺,1.0,是,1001,,50,检测,工作中心内默认首资源(库中无工序级resource_id),T001,检测设备-1,WC005,检测车间,0.1,0.02,
MAT002,电机外壳,RT002,电机外壳标准工艺,1.0,是,1001,,60,包装,工作中心内默认首资源(库中无工序级resource_id),P001,包装线-1,WC006,包装车间,0.1,0.01,
MAT003,传感器模块,RT003,传感器模块标准工艺,1.0,是,1001,,10,精密加工,工作中心内默认首资源(库中无工序级resource_id),M001,CNC机床-1,WC001,机加工车间,0.4,0.06,
MAT003,传感器模块,RT003,传感器模块标准工艺,1.0,是,1001,,20,装配,工作中心内默认首资源(库中无工序级resource_id),A001,装配工位-1,WC003,装配车间,0.25,0.05,
MAT003,传感器模块,RT003,传感器模块标准工艺,1.0,是,1001,,30,精密检测,工作中心内默认首资源(库中无工序级resource_id),T001,检测设备-1,WC005,检测车间,0.2,0.03,
MAT003,传感器模块,RT003,传感器模块标准工艺,1.0,是,1001,,40,包装,工作中心内默认首资源(库中无工序级resource_id),P001,包装线-1,WC006,包装车间,0.1,0.01,
MAT004,控制板,RT004,控制板标准工艺,1.0,是,1001,,10,零件加工,工序绑定资源,M003,CNC机床-3,WC001,机加工车间,0.3,0.04,
MAT004,控制板,RT004,控制板标准工艺,1.0,是,1001,,20,组装焊接,工作中心内默认首资源(库中无工序级resource_id),A001,装配工位-1,WC003,装配车间,0.2,0.06,
MAT004,控制板,RT004,控制板标准工艺,1.0,是,1001,,30,功能测试,工序绑定资源,T002,检测设备-2,WC005,检测车间,0.15,0.04,
MAT004,控制板,RT004,控制板标准工艺,1.0,是,1001,,40,包装,工序绑定资源,P002,包装线-2,WC006,包装车间,0.1,0.01,
MAT005,轴承座,RT005,轴承座标准工艺,1.0,是,1001,,10,CNC粗加工,工作中心内默认首资源(库中无工序级resource_id),M001,CNC机床-1,WC001,机加工车间,0.5,0.05,
MAT005,轴承座,RT005,轴承座标准工艺,1.0,是,1001,,20,CNC精加工,工作中心内默认首资源(库中无工序级resource_id),M001,CNC机床-1,WC001,机加工车间,0.3,0.08,
MAT005,轴承座,RT005,轴承座标准工艺,1.0,是,1001,,30,组装,工作中心内默认首资源(库中无工序级resource_id),A001,装配工位-1,WC003,装配车间,0.2,0.03,
MAT005,轴承座,RT005,轴承座标准工艺,1.0,是,1001,,40,检测,工作中心内默认首资源(库中无工序级resource_id),T001,检测设备-1,WC005,检测车间,0.1,0.02,
MAT005,轴承座,RT005,轴承座标准工艺,1.0,是,1001,,50,包装,工作中心内默认首资源(库中无工序级resource_id),P001,包装线-1,WC006,包装车间,0.1,0.01,
MAT006,连接器,RT006,连接器标准工艺,1.0,是,1001,,10,精密加工,工作中心内默认首资源(库中无工序级resource_id),M001,CNC机床-1,WC001,机加工车间,0.4,0.06,
MAT006,连接器,RT006,连接器标准工艺,1.0,是,1001,,20,装配,工作中心内默认首资源(库中无工序级resource_id),A001,装配工位-1,WC003,装配车间,0.25,0.05,
