记录ID,工艺路线编码,工艺路线名称,产品ID,产品编码,产品描述,版本,启用,说明,位置,创建时间,更新时间
1,RT001,精密齿轮标准工艺,1,MAT001,精密齿轮,1.0,是,,1001,2026-01-27 12:15:47.761490,2026-03-23 08:26:08.118449
2,RT002,电机外壳标准工艺,2,MAT002,电机外壳,1.0,是,,1001,2026-01-27 12:15:47.816383,2026-03-23 08:07:53.406205
3,RT003,传感器模块标准工艺,3,MAT003,传感器模块,1.0,是,,1001,2026-01-27 12:15:47.870197,2026-03-23 08:07:53.406208
4,RT004,控制板标准工艺,4,MAT004,控制板,1.0,是,,1001,2026-01-27 12:15:47.921495,2026-03-23 08:07:53.406210
5,RT005,轴承座标准工艺,5,MAT005,轴承座,1.0,是,,1001,2026-01-27 12:15:47.965220,2026-03-23 08:07:53.406212
6,RT006,连接器标准工艺,6,MAT006,连接器,1.0,是,,1001,2026-01-27 12:15:48.001785,2026-03-23 08:07:53.406214
7,RT007,散热器标准工艺,7,MAT007,散热器,1.0,是,,1001,2026-01-27 12:15:48.032721,2026-03-23 08:07:53.406216
8,RT008,机箱标准工艺,8,MAT008,机箱,1.0,是,,1001,2026-01-27 12:15:48.060611,2026-03-23 08:07:53.406218
9,RT009,电源模块标准工艺,9,MAT009,电源模块,1.0,是,,1001,2026-01-27 12:15:48.094142,2026-03-23 08:07:53.406220
10,RT010,显示面板标准工艺,10,MAT010,显示面板,1.0,是,,1001,2026-01-27 12:15:48.137399,2026-03-23 08:07:53.406222
